,iid,gender,age,wave,field,race,imprace,imprelig,goal,date,go_out,career,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,attr1_s,sinc1_s,intel1_s,fun1_s,amb1_s,attr3_s,sinc3_s,intel3_s,fun3_s,amb3_s,attr_o,sinc_o,intel_o,fun_o,amb_o,age_o,like_o,match,dec_o,attr,sinc,intel,fun,amb,like,match_es,dec,you_call,them_cal
120,122,M,22.0,5,Law,Other,1.0,1.0,Fun,3.0,1.0,Lawyer,7.0,9.0,7.0,9.0,7.0,6.0,5.0,6.0,6.0,6.0,8.0,7.0,8.0,8.0,8.0,5.0,4.0,10.0,40.0,15.0,10.0,20.0,5.0,,,,,,,50.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,7.777777777777778,8.777777777777779,8.222222222222221,8.444444444444445,7.333333333333333,20.444444444444443,7.777777777777778,3,7,8.2,9.4,8.7,8.5,8.5,8.8,4.0,4,1.0,0.0
121,123,M,18.0,5,Biomedical Engineering,Asian,3.0,5.0,Meet people,5.0,1.0,Cardiologist,9.0,9.0,8.0,8.0,3.0,2.0,5.0,5.0,6.0,2.0,7.0,2.0,7.0,7.0,7.0,7.0,5.0,1.0,50.0,10.0,20.0,5.0,5.0,,,,,,,20.0,50.0,10.0,5.0,5.0,10.0,8.0,7.0,7.0,7.0,8.0,,,,,,,,,,,,,,,,6.375,8.666666666666666,7.222222222222222,5.777777777777778,6.888888888888889,20.444444444444443,5.888888888888889,0,4,5.9,5.3,5.5,4.8,5.0,4.7,0.0,1,,
122,124,M,22.0,5,Economics and Political Science,Asian,1.0,1.0,Meet people,4.0,1.0,Law or finance,5.0,5.0,8.0,10.0,8.0,8.0,6.0,5.0,8.0,8.0,6.0,9.0,9.0,9.0,8.0,8.0,7.0,10.0,40.0,10.0,10.0,10.0,10.0,,,,,,,20.0,30.0,10.0,10.0,20.0,10.0,8.0,8.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,3.7777777777777777,5.666666666666667,6.888888888888889,2.625,8.444444444444445,20.444444444444443,2.3333333333333335,0,0,6.1,5.9,6.1,5.0,5.5,7.0,6.0,9,,
123,125,M,21.0,5,Art History/medicine,Caucasian,3.0,1.0,Fun,3.0,1.0,Pediatrics,3.0,1.0,9.0,10.0,9.0,10.0,1.0,1.0,10.0,9.0,2.0,9.0,9.0,9.0,9.0,10.0,7.0,4.0,20.0,15.0,20.0,15.0,12.0,,,,,,,25.0,10.0,15.0,15.0,15.0,20.0,9.0,6.0,9.0,10.0,10.0,,,,,,,,,,,,,,,,8.0,8.333333333333334,8.555555555555555,8.444444444444445,8.222222222222221,20.444444444444443,8.0,7,8,8.0,7.8,7.4,7.7,7.3,7.2,6.0,7,,
124,126,M,22.0,5,philosophy,Caucasian,7.0,5.0,Relationship,6.0,3.0,medicine,10.0,8.0,7.0,8.0,8.0,7.0,5.0,2.0,7.0,10.0,5.0,8.0,8.0,9.0,10.0,6.0,7.0,5.0,25.0,40.0,15.0,10.0,5.0,,,,,,,20.0,20.0,15.0,20.0,15.0,10.0,9.0,10.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,6.111111111111111,8.0,8.555555555555555,6.777777777777778,7.888888888888889,20.444444444444443,7.0,2,3,6.2,7.4,7.2,7.3,6.8,6.4,1.0,4,2.0,2.0
125,127,M,22.0,5,Mechanical Engineering,Caucasian,1.0,1.0,Other,5.0,1.0,Porn Star,10.0,8.0,8.0,8.0,5.0,3.0,5.0,5.0,6.0,1.0,7.0,1.0,5.0,8.0,7.0,5.0,10.0,20.0,25.0,25.0,25.0,15.0,5.0,,,,,,,20.0,20.0,20.0,20.0,10.0,10.0,8.0,8.0,9.0,9.0,8.0,,,,,,,,,,,,,,,,7.333333333333333,5.888888888888889,6.111111111111111,6.111111111111111,6.111111111111111,20.444444444444443,5.666666666666667,4,5,7.0,6.4,7.1,6.1,6.2,6.4,7.0,6,0.0,0.0
126,128,M,21.0,5,Engineering,Caucasian,3.0,1.0,Fun,3.0,2.0,Mechanical Engineering,8.0,7.0,7.0,6.0,4.0,4.0,8.0,7.0,3.0,5.0,3.0,4.0,8.0,10.0,10.0,2.0,2.0,13.0,40.0,15.0,10.0,20.0,10.0,,,,,,,25.0,15.0,20.0,20.0,10.0,10.0,8.0,7.0,8.0,7.0,7.0,,,,,,,,,,,,,,,,7.555555555555555,8.444444444444445,8.125,6.875,6.625,20.444444444444443,7.222222222222222,6,7,7.9,8.3,8.3,8.3,8.0,7.4,7.0,9,0.0,1.0
127,129,M,,5,Economics,Caucasian,1.0,1.0,Get a date,3.0,3.0,entrepeneur,7.0,4.0,7.0,9.0,4.0,5.0,9.0,2.0,6.0,9.0,4.0,4.0,7.0,6.0,6.0,4.0,6.0,10.0,40.0,20.0,20.0,20.0,,,,,,,,40.0,21.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,6.222222222222222,7.888888888888889,6.222222222222222,6.625,6.444444444444445,20.444444444444443,6.444444444444445,3,3,7.8,8.444444444444445,8.8,8.4,7.111111111111111,7.6,5.0,8,,
128,130,M,20.0,5,Engineering,Asian,4.0,1.0,Fun,6.0,2.0,don t know,7.0,4.0,9.0,8.0,3.0,2.0,7.0,5.0,7.0,6.0,2.0,1.0,2.0,2.0,9.0,6.0,2.0,1.0,80.0,10.0,10.0,,,,,,,,,60.0,20.0,10.0,10.0,,,5.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,7.333333333333333,8.777777777777779,7.666666666666667,6.555555555555555,6.777777777777778,20.444444444444443,7.222222222222222,2,7,4.3,4.5,5.1,3.5,3.5,4.9,2.0,2,,
129,131,M,19.0,5,Computer Science,Asian,4.0,1.0,Meet people,7.0,3.0,Not Sure,5.0,1.0,5.0,5.0,5.0,5.0,3.0,6.0,4.0,8.0,7.0,6.0,8.0,7.0,6.0,5.0,3.0,0.0,25.0,10.0,20.0,20.0,10.0,,,,,,,30.0,10.0,20.0,20.0,10.0,10.0,4.0,6.0,6.0,4.0,6.0,,,,,,,,,,,,,,,,4.428571428571429,7.857142857142857,6.714285714285714,4.0,6.333333333333333,20.444444444444443,4.571428571428571,0,1,5.625,5.375,6.25,5.5,5.5,4.5,0.0,0,0.0,0.0
130,132,F,27.0,6,Finance,Caucasian,10.0,1.0,Fun,7.0,2.0,Asset Management,7.0,2.0,10.0,5.0,7.0,7.0,9.0,1.0,1.0,5.0,9.0,5.0,10.0,3.0,10.0,1.0,10.0,,16.67,16.67,16.67,16.67,16.67,10.0,7.0,7.0,7.0,5.0,7.0,22.73,15.91,13.64,15.91,13.64,18.18,8.0,10.0,9.0,10.0,10.0,,,,,,16.67,16.67,16.67,16.67,16.67,8.0,9.0,8.0,10.0,10.0,7.8,7.25,7.0,7.2,7.2,30.4,7.4,1,5,6.6,8.2,8.2,7.8,7.8,7.4,0.0,1,,
131,133,F,24.0,6,electrical engineering,Asian,8.0,6.0,Fun,6.0,5.0,a research position,8.0,7.0,6.0,7.0,10.0,8.0,10.0,4.0,3.0,6.0,4.0,8.0,7.0,10.0,9.0,7.0,6.0,,12.77,19.15,17.02,17.02,14.89,7.0,7.0,7.0,7.0,6.0,7.0,24.32,16.22,13.51,16.22,10.81,18.92,6.0,8.0,8.0,7.0,7.0,,,,,,12.77,17.02,19.15,17.02,14.89,5.0,8.0,7.0,7.0,5.0,5.2,9.0,9.0,7.2,7.4,30.4,5.6,0,2,6.6,6.2,6.4,7.2,6.6,6.4,,0,0.0,0.0
132,134,F,23.0,6,marine geophysics,Caucasian,8.0,10.0,Fun,5.0,3.0,professor,7.0,4.0,4.0,8.0,9.0,6.0,7.0,8.0,6.0,8.0,5.0,9.0,5.0,7.0,8.0,8.0,8.0,,6.67,20.0,20.0,17.78,20.0,6.0,9.0,9.0,7.0,7.0,6.0,20.51,15.38,12.82,20.51,12.82,17.95,7.0,8.0,8.0,8.0,8.0,,,,,,6.67,22.22,20.0,17.78,17.78,7.0,9.0,8.0,7.0,9.0,6.5,8.4,8.3,6.2,6.8,30.4,6.1,1,3,7.2,7.6,7.8,7.2,8.2,7.0,1.0,3,0.0,0.0
133,135,F,26.0,6,theory,Caucasian,9.0,6.0,Fun,7.0,2.0,teaching,3.0,1.0,1.0,1.0,9.0,9.0,10.0,1.0,7.0,7.0,1.0,8.0,7.0,10.0,10.0,2.0,9.0,,18.18,22.73,18.18,13.64,13.64,8.0,8.0,8.0,9.0,9.0,7.0,18.75,16.67,14.58,18.75,18.75,12.5,9.0,10.0,9.0,7.0,6.0,,,,,,18.18,22.73,18.18,13.64,13.64,8.0,10.0,5.0,7.0,5.0,6.3,7.75,7.5,5.8,6.4,30.4,5.8,2,3,7.6,7.25,8.0,8.0,6.0,6.6,2.0,4,1.0,0.0
134,136,F,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.96,14.81,18.52,18.52,18.52,7.0,9.0,10.0,10.0,10.0,5.8,7.2,8.25,7.2,8.0,30.4,7.1,1,3,7.0,8.4,8.4,7.8,8.4,7.8,0.0,1,1.0,1.0
135,137,M,26.0,6,Business,Asian,1.0,1.0,Fun,4.0,1.0,Real Estate,6.0,1.0,8.0,8.0,4.0,4.0,1.0,5.0,7.0,4.0,7.0,1.0,9.0,9.0,10.0,8.0,3.0,,17.39,17.39,15.22,17.39,13.04,9.0,6.0,5.0,8.0,5.0,8.0,14.89,17.02,17.02,17.02,14.89,19.15,7.0,9.0,9.0,8.0,8.0,,,,,,16.67,16.67,16.67,18.75,12.5,7.0,9.0,9.0,8.0,8.0,7.6,7.6,7.25,8.5,7.5,25.0,7.6,1,1,7.2,8.6,9.0,7.2,8.0,7.6,2.0,4,,
136,138,M,32.0,6,MBA,Caucasian,9.0,6.0,Fun,3.0,2.0,investment banking,7.0,2.0,9.0,8.0,6.0,6.0,1.0,7.0,7.0,9.0,9.0,4.0,9.0,2.0,9.0,6.0,2.0,,20.0,20.0,20.0,20.0,6.67,9.0,9.0,7.0,8.0,3.0,7.0,18.37,18.37,16.33,16.33,16.33,14.29,8.0,8.0,8.0,8.0,8.0,,,,,,19.57,19.57,19.57,19.57,8.7,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.6,8.25,8.25,25.0,7.6,1,3,5.0,7.4,7.2,5.4,7.4,4.0,3.0,2,,
137,139,M,37.0,6,engineering,Asian,6.0,1.0,Fun,6.0,3.0,engineering professional,7.0,5.0,8.0,10.0,9.0,9.0,6.0,5.0,6.0,10.0,8.0,7.0,10.0,8.0,9.0,7.0,8.0,,18.75,16.67,18.75,20.83,12.5,10.0,9.0,8.0,9.0,3.0,8.0,19.61,19.61,15.69,19.61,11.76,13.73,8.0,8.0,9.0,9.0,6.0,,,,,,23.81,23.81,14.29,23.81,2.38,8.0,10.0,10.0,10.0,7.0,5.6,7.0,7.5,5.8,7.0,25.0,5.8,0,1,7.0,8.333333333333334,9.0,7.0,6.8,7.0,2.0,4,0.0,0.0
138,140,M,29.0,6,MBA,Caucasian,5.0,5.0,Fun,5.0,2.0,Investment Banking,8.0,6.0,8.0,9.0,5.0,5.0,5.0,5.0,7.0,9.0,6.0,7.0,6.0,4.0,5.0,4.0,3.0,,18.6,16.28,18.6,18.6,11.63,7.0,9.0,8.0,7.0,7.0,9.0,15.56,17.78,17.78,15.56,15.56,17.78,7.0,7.0,8.0,9.0,8.0,,,,,,20.0,15.56,17.78,17.78,13.33,7.0,6.0,8.0,8.0,8.0,8.0,8.2,8.2,8.4,8.75,25.0,8.0,2,3,6.0,7.4,7.3,7.0,7.0,6.6,2.0,2,,
139,141,M,28.0,6,MBA,Hispanic,4.0,4.0,Fun,6.0,2.0,MBA,10.0,10.0,3.0,9.0,5.0,5.0,7.0,5.0,7.0,3.0,8.0,9.0,10.0,8.0,9.0,6.0,6.0,,20.83,20.83,16.67,16.67,6.25,10.0,9.0,4.0,7.0,8.0,8.0,19.05,7.14,19.05,23.81,21.43,9.52,7.0,9.0,8.0,8.0,6.0,,,,,,20.93,20.93,18.6,18.6,4.65,7.0,8.0,8.0,8.0,7.0,5.8,6.75,6.75,7.2,6.8,25.0,6.2,1,1,6.4,8.2,8.0,7.0,6.6,6.8,2.0,4,,
140,142,F,24.0,7,political science,Caucasian,1.0,4.0,Fun,5.0,2.0,professor,5.0,6.0,6.0,6.0,5.0,5.0,6.0,14.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,,14.29,14.29,21.43,21.43,19.05,8.0,7.0,6.0,7.0,6.0,6.0,19.57,13.04,17.39,19.57,15.22,15.22,9.0,9.0,10.0,9.0,7.0,,,,,,14.58,16.67,20.83,20.83,14.58,9.0,10.0,10.0,9.0,8.0,7.3125,7.1875,7.6875,6.6875,6.538461538461538,26.125,6.625,7,9,6.8125,8.0625,8.1875,7.8125,7.75,7.8125,,12,0.0,3.0
141,143,F,33.0,7,Law,Caucasian,6.0,2.0,Meet people,7.0,4.0,law,4.0,5.0,6.0,8.0,9.0,9.0,6.0,4.0,8.0,9.0,5.0,7.0,7.0,7.0,7.0,6.0,4.0,,8.33,20.83,20.83,14.58,16.67,5.0,8.0,9.0,8.0,9.0,10.0,17.86,16.07,17.86,16.07,14.29,17.86,7.0,10.0,8.0,7.0,7.0,,,,,,,,,,,,,,,,4.666666666666667,7.6875,7.4375,5.0,6.928571428571429,26.125,4.6875,0,1,6.8125,7.0,8.5,7.6875,7.6,7.0,3.0,9,,
142,144,F,23.0,7,Nutrition/Genetics,Caucasian,5.0,2.0,Fun,5.0,2.0,research,10.0,7.0,9.0,6.0,6.0,6.0,4.0,3.0,7.0,7.0,5.0,4.0,7.0,9.0,8.0,7.0,4.0,,16.0,16.0,16.0,18.0,18.0,8.0,7.0,7.0,7.0,6.0,7.0,20.0,15.56,15.56,17.78,15.56,15.56,7.0,8.0,9.0,8.0,9.0,,,,,,16.33,16.33,16.33,18.37,16.33,8.0,9.0,9.0,9.0,9.0,6.866666666666666,7.6,8.2,7.4,6.571428571428571,26.125,6.666666666666667,1,6,6.0625,7.0625,7.5,6.8125,6.8125,6.4375,,3,0.0,0.0
143,145,F,24.0,7,Neuroscience,Caucasian,9.0,7.0,Meet people,7.0,1.0,Neuroscientist/Professor,2.0,1.0,2.0,9.0,9.0,5.0,2.0,2.0,1.0,8.0,10.0,10.0,10.0,5.0,8.0,9.0,2.0,,11.36,18.18,22.73,18.18,11.36,9.0,8.0,9.0,8.0,9.0,9.0,22.22,13.33,17.78,20.0,8.89,17.78,5.0,5.0,9.0,7.0,7.0,,,,,,14.0,20.0,20.0,18.0,14.0,7.0,8.0,10.0,7.0,7.0,5.4375,7.375,7.875,6.0625,6.571428571428571,26.125,5.75,0,5,8.3125,9.0625,8.75,8.0,7.875,7.625,2.0,5,0.0,0.0
144,146,F,36.0,7,Comparative Literature,Caucasian,1.0,7.0,Relationship,7.0,1.0,Education,5.0,2.0,5.0,5.0,8.0,8.0,3.0,1.0,3.0,10.0,8.0,8.0,8.0,5.0,8.0,8.0,3.0,,18.18,18.18,18.18,18.18,13.64,9.0,6.0,7.0,9.0,6.0,8.0,20.0,13.33,15.56,20.0,13.33,17.78,8.0,8.0,8.0,8.0,8.0,,,,,,17.02,17.02,17.02,17.02,14.89,8.0,8.0,8.0,8.0,7.0,5.5,7.125,7.6,5.375,6.2,26.125,5.5,1,5,6.5,7.75,8.25,7.7,8.0,6.25,,1,,
145,147,F,26.0,7,Business,Asian,3.0,3.0,Say I did it,5.0,1.0,Business,8.0,7.0,8.0,9.0,9.0,9.0,5.0,2.0,8.0,10.0,8.0,9.0,8.0,6.0,6.0,7.0,10.0,,18.0,18.0,20.0,18.0,16.0,9.0,9.0,9.0,9.0,9.0,9.0,25.0,12.5,12.5,25.0,12.5,12.5,8.0,7.0,9.0,8.0,7.0,,,,,,18.75,16.67,18.75,16.67,16.67,8.0,8.0,9.0,9.0,8.0,6.75,7.125,7.133333333333334,8.0,6.533333333333333,26.125,6.375,5,8,6.125,7.0625,7.75,6.0625,6.125,6.125,7.0,7,0.0,2.0
146,148,F,27.0,7,Business,Asian,7.0,4.0,Say I did it,4.0,1.0,Business,7.0,4.0,6.0,9.0,9.0,9.0,5.0,2.0,1.0,10.0,10.0,9.0,9.0,5.0,7.0,9.0,7.0,,15.09,16.98,16.98,18.87,18.87,9.0,9.0,9.0,9.0,9.0,9.0,23.81,16.67,14.29,23.81,9.52,11.9,8.0,9.0,9.0,9.0,8.0,,,,,,15.38,17.31,19.23,19.23,19.23,8.0,8.0,9.0,7.0,9.0,7.0625,7.0,7.3125,6.5,7.0,26.125,6.6875,1,11,5.1875,7.75,7.8125,5.0625,6.8125,5.375,,2,,
147,149,F,28.0,7,International Relations,Caucasian,3.0,3.0,Fun,5.0,2.0,Professor and Government Official,8.0,4.0,5.0,8.0,8.0,8.0,8.0,3.0,6.0,6.0,6.0,5.0,8.0,7.0,10.0,9.0,8.0,,8.51,19.15,19.15,19.15,19.15,10.0,4.0,7.0,9.0,8.0,2.0,28.57,8.57,20.0,20.0,14.29,8.57,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,7.3125,7.0625,7.4375,6.5,6.857142857142857,26.125,6.9375,5,12,5.8125,6.9375,7.3125,5.1875,6.0625,5.666666666666667,5.0,6,0.0,5.0
148,150,F,31.0,7,History of Religion,Caucasian,3.0,3.0,Relationship,5.0,2.0,professor,5.0,1.0,3.0,5.0,3.0,3.0,9.0,1.0,5.0,7.0,1.0,1.0,7.0,5.0,4.0,2.0,10.0,,12.0,20.0,20.0,20.0,14.0,7.0,7.0,6.0,5.0,5.0,5.0,25.0,15.0,15.0,15.0,15.0,15.0,7.0,9.0,9.0,8.0,8.0,,,,,,12.77,21.28,19.15,17.02,14.89,8.0,10.0,8.0,8.0,8.0,7.25,8.0625,8.375,7.1875,7.2,26.125,6.875,2,11,6.8125,6.875,7.9375,7.125,7.8125,7.0625,1.0,3,1.0,1.0
149,151,F,28.0,7,international affairs - economic development,Caucasian,1.0,2.0,Get a date,3.0,1.0,international development work,5.0,1.0,8.0,10.0,9.0,8.0,8.0,4.0,1.0,8.0,1.0,9.0,8.0,9.0,10.0,7.0,7.0,,14.55,16.36,18.18,18.18,16.36,8.0,6.0,7.0,8.0,9.0,6.0,23.81,14.29,16.67,19.05,14.29,11.9,9.0,10.0,10.0,10.0,8.0,,,,,,,,,,,,,,,,8.6875,8.125,7.466666666666667,7.75,6.857142857142857,26.125,7.666666666666667,2,14,6.375,6.1875,6.875,5.5625,6.0625,5.84375,1.0,2,2.0,2.0
150,152,F,27.0,7,Political Science,Asian,2.0,3.0,Fun,4.0,3.0,professor,4.0,1.0,4.0,8.0,9.0,8.0,5.0,5.0,7.0,10.0,5.0,9.0,10.0,9.0,9.0,7.0,1.0,,14.0,20.0,20.0,14.0,18.0,7.0,9.0,7.0,7.0,7.0,5.0,24.32,13.51,13.51,24.32,8.11,16.22,7.0,9.0,10.0,8.0,8.0,,,,,,,,,,,,,,,,7.125,7.9375,7.866666666666666,5.6,6.6923076923076925,26.125,6.125,3,7,5.9375,7.375,7.3125,6.8125,7.7272727272727275,6.714285714285714,1.0,5,0.0,1.0
151,153,F,28.0,7,Modern Chinese Literature,Asian,1.0,1.0,Meet people,6.0,3.0,professor,8.0,5.0,7.0,7.0,7.0,6.0,6.0,5.0,7.0,10.0,6.0,7.0,9.0,7.0,7.0,8.0,5.0,,9.76,19.51,19.51,14.63,19.51,7.0,8.0,8.0,8.0,8.0,7.0,23.53,17.65,14.71,14.71,14.71,14.71,7.0,7.0,7.0,6.0,6.0,,,,,,16.28,16.28,18.6,13.95,18.6,7.0,7.0,7.0,7.0,7.0,6.3125,7.8125,7.1875,5.5,6.461538461538462,26.125,5.6875,3,5,5.625,5.75,6.5625,6.3125,6.6,5.4375,4.0,10,0.0,2.0
152,154,F,27.0,7,MBA,Caucasian,8.0,3.0,Other,4.0,1.0,finance,10.0,7.0,8.0,8.0,6.0,6.0,6.0,1.0,6.0,8.0,7.0,7.0,8.0,6.0,6.0,3.0,2.0,,15.38,17.31,17.31,17.31,17.31,9.0,9.0,9.0,9.0,9.0,9.0,16.67,16.67,16.67,16.67,16.67,16.67,8.0,9.0,9.0,9.0,9.0,,,,,,16.0,18.0,18.0,18.0,18.0,8.0,9.0,9.0,9.0,9.0,7.75,7.75,7.5,7.2,7.571428571428571,26.125,6.9375,7,13,7.5625,8.8125,8.8125,7.75,8.0625,7.0,,7,0.0,2.0
153,155,F,27.0,7,business,Caucasian,5.0,1.0,Meet people,5.0,1.0,Nonprofit,2.0,1.0,10.0,10.0,7.0,8.0,5.0,1.0,1.0,10.0,4.0,10.0,9.0,5.0,7.0,7.0,4.0,,15.09,18.87,18.87,16.98,16.98,8.0,8.0,7.0,9.0,7.0,7.0,21.95,14.63,12.2,21.95,9.76,19.51,7.0,10.0,8.0,6.0,9.0,,,,,,14.58,18.75,18.75,14.58,18.75,7.0,9.0,7.0,6.0,9.0,7.1875,7.5,7.0625,6.733333333333333,6.428571428571429,26.125,6.625,1,9,4.8125,6.625,6.625,5.3125,6.625,5.1875,0.0,2,,
154,156,F,30.0,7,Business,African American,1.0,1.0,Meet people,6.0,3.0,Marketing and Media,3.0,7.0,10.0,10.0,10.0,10.0,8.0,7.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,8.0,,14.0,18.0,16.0,18.0,18.0,10.0,8.0,8.0,10.0,8.0,9.0,18.87,15.09,15.09,18.87,15.09,16.98,8.0,10.0,9.0,10.0,10.0,,,,,,14.89,19.15,19.15,14.89,19.15,8.0,10.0,9.0,9.0,10.0,7.0,7.875,8.0,7.125,7.933333333333334,26.125,6.5625,4,10,6.0,8.25,10.0,6.375,9.4375,5.875,5.0,6,,
155,157,F,28.0,7,Business. marketing,Asian,5.0,3.0,Fun,6.0,1.0,Brand Management,8.0,7.0,8.0,8.0,6.0,6.0,9.0,2.0,9.0,7.0,4.0,6.0,7.0,5.0,6.0,6.0,3.0,,14.29,16.33,16.33,18.37,18.37,8.0,8.0,7.0,7.0,6.0,6.0,23.26,16.28,13.95,16.28,13.95,16.28,7.0,8.0,8.0,9.0,9.0,,,,,,14.58,16.67,16.67,16.67,18.75,7.0,8.0,8.0,9.0,9.0,7.625,7.3125,7.375,7.4375,7.6923076923076925,26.125,7.0,1,12,4.8125,6.25,6.3125,5.9375,5.75,4.25,2.0,2,,
156,158,M,23.0,7,physics (astrophysics),Caucasian,3.0,4.0,Relationship,6.0,2.0,physicist. probably academia,2.0,4.0,4.0,6.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,5.0,8.0,4.0,9.0,5.0,1.0,,19.05,19.05,19.05,19.05,9.52,9.0,7.0,6.0,7.0,4.0,8.0,15.22,19.57,19.57,19.57,8.7,17.39,7.0,9.0,9.0,7.0,6.0,,,,,,20.93,16.28,18.6,18.6,11.63,6.0,8.0,9.0,7.0,6.0,4.5625,6.25,7.5,4.2,6.785714285714286,27.9375,4.0625,0,0,8.875,8.375,8.25,7.375,7.0625,8.25,4.0,16,0.0,0.0
157,159,M,28.0,7,Physics,Caucasian,7.0,2.0,Fun,6.0,2.0,Academic,7.0,7.0,6.0,9.0,9.0,8.0,6.0,4.0,5.0,8.0,7.0,7.0,9.0,8.0,9.0,7.0,2.0,,15.91,20.45,20.45,20.45,11.36,8.0,8.0,6.0,7.0,2.0,5.0,14.81,18.52,18.52,16.67,14.81,16.67,5.0,9.0,9.0,8.0,7.0,,,,,,17.02,21.28,19.15,14.89,14.89,6.0,9.0,9.0,8.0,8.0,4.125,7.1875,8.0,5.875,7.166666666666667,27.9375,5.0625,2,2,6.9375,7.75,7.1875,6.25,6.230769230769231,6.4375,3.0,9,1.0,0.0
158,160,M,29.0,7,Business/ Finance/ Real Estate,African American,3.0,4.0,Meet people,5.0,2.0,Real Estate/ Private Equity,9.0,8.0,10.0,6.0,6.0,4.0,3.0,4.0,8.0,6.0,3.0,7.0,9.0,6.0,9.0,3.0,2.0,,16.0,18.0,18.0,18.0,14.0,9.0,7.0,8.0,8.0,7.0,7.0,14.29,20.41,16.33,16.33,18.37,14.29,8.0,8.0,8.0,9.0,9.0,,,,,,17.78,15.56,17.78,17.78,15.56,8.0,8.0,8.0,9.0,9.0,7.375,7.375,7.4375,8.0,7.875,27.9375,6.75,3,4,6.75,8.6875,8.428571428571429,7.125,8.266666666666667,6.0625,4.0,8,,
159,161,M,22.0,7,Biochemistry,Caucasian,6.0,2.0,Meet people,4.0,2.0,undecided,9.0,9.0,9.0,8.0,7.0,6.0,7.0,7.0,9.0,9.0,8.0,6.0,8.0,6.0,9.0,6.0,2.0,,16.67,18.75,18.75,18.75,18.75,8.0,8.0,9.0,9.0,9.0,7.0,14.55,18.18,18.18,16.36,18.18,14.55,8.0,7.0,9.0,9.0,7.0,,,,,,20.0,20.0,15.56,20.0,13.33,8.0,6.0,9.0,10.0,6.0,7.75,7.4375,8.0,7.8,7.285714285714286,27.9375,7.25,2,11,7.0625,8.0,8.375,7.3125,6.4375,5.6875,,3,,
160,162,M,27.0,7,Biochemistry,Asian,1.0,1.0,Meet people,6.0,2.0,pharmaceuticals and biotechnology,3.0,3.0,3.0,8.0,7.0,7.0,6.0,2.0,8.0,5.0,4.0,3.0,9.0,10.0,10.0,7.0,3.0,,15.22,15.22,19.57,17.39,13.04,8.0,7.0,7.0,8.0,6.0,7.0,13.04,19.57,19.57,17.39,17.39,13.04,7.0,8.0,9.0,7.0,8.0,,,,,,18.37,18.37,16.33,18.37,12.24,7.0,7.0,8.0,6.0,8.0,5.75,6.75,7.875,5.866666666666666,7.2,27.9375,6.0,2,4,5.8125,6.5,6.625,5.5,6.6875,5.25,2.0,6,,
161,163,M,26.0,7,Art Education,Caucasian,1.0,1.0,Relationship,3.0,3.0,college art teacher,6.0,2.0,2.0,4.0,8.0,8.0,4.0,1.0,1.0,8.0,1.0,6.0,6.0,4.0,6.0,2.0,1.0,,12.0,20.0,20.0,20.0,16.0,8.0,8.0,8.0,8.0,8.0,8.0,14.29,14.29,14.29,23.81,14.29,19.05,7.0,8.0,9.0,8.0,7.0,,,,,,13.89,13.89,22.22,16.67,19.44,7.0,8.0,9.0,7.0,8.0,6.875,7.6875,7.6875,7.25,7.0,27.9375,7.033333333333333,3,8,7.25,8.125,7.5,6.875,6.6875,6.5625,3.0,6,3.0,0.0
162,164,M,27.0,7,Philosophy,Caucasian,1.0,1.0,Fun,6.0,2.0,academic,7.0,5.0,5.0,6.0,7.0,7.0,7.0,1.0,3.0,7.0,2.0,5.0,6.0,4.0,6.0,2.0,2.0,,20.51,23.08,20.51,17.95,2.56,8.0,5.0,5.0,5.0,5.0,5.0,21.88,15.63,15.63,15.63,15.63,15.63,7.0,9.0,9.0,6.0,4.0,,,,,,19.05,21.43,21.43,16.67,9.52,8.0,9.0,9.0,7.0,3.0,6.6875,7.8125,8.125,7.0,6.857142857142857,27.9375,6.8125,2,6,7.25,8.0,8.1875,7.416666666666667,7.2,6.9375,3.0,5,,
